Customer ID,First Name,Last Name,Phone Number,Email,Age,Gender,Marital Status,Income,CIBIL Score,Account Number,Employment Status,Number of Dependents
CUST10001,Venkatesh,Kumar,9613547812,venkateshkumar20@gmail.com,32,Male,Single,"4,10,000",616,369125888613,Unemployed,2
CUST10002,Kiran,Sharma,9778265777,kiransharma90@gmail.com,48,Female,Married,"19,02,000",792,686789183287,Self-Employed,0
CUST10003,Rajesh,Goud,8509204039,rajeshgoud19@gmail.com,51,Male,Single,"2,43,000",786,234328099572,Self-Employed,2
CUST10004,Teja,Sharma,8260891025,tejasharma67@gmail.com,28,Male,Single,"25,03,000",637,105475176024,Unemployed,2
CUST10005,Venkatesh,Dasari,8057908200,venkateshdasari38@gmail.com,46,Female,Married,"24,40,000",791,446702548578,Self-Employed,4
CUST10006,Ravi,Rao,7651709262,ravirao81@gmail.com,41,Female,Married,"30,32,000",732,655724266121,Self-Employed,0
CUST10007,Kiran,Kumar,8040872658,kirankumar72@gmail.com,35,Male,Single,"3,09,000",855,722408452330,Unemployed,3
CUST10008,Kiran,Kumar,8431065707,kirankumar17@gmail.com,54,Female,Married,"10,78,000",386,525943764154,Employed,2
CUST10009,Anusha,Goud,6182749558,anushagoud73@gmail.com,49,Male,Single,"16,99,000",892,415029687714,Retired,0
CUST10010,Divya,Reddy,8086556849,divyareddy26@gmail.com,53,Female,Single,"16,95,000",648,828514299960,Unemployed,4
CUST10011,Venkatesh,Sharma,7791251944,venkateshsharma31@gmail.com,46,Male,Married,"10,35,000",323,939604677522,Retired,2
CUST10012,Kiran,Naidu,8419803893,kirannaidu96@gmail.com,47,Male,Married,"12,01,000",409,297739021455,Student,4
CUST10013,Teja,Kumar,6377021039,tejakumar15@gmail.com,59,Male,Married,"18,73,000",741,461915037069,Self-Employed,4
CUST10014,Teja,Sharma,6672641888,tejasharma67@gmail.com,33,Female,Single,"21,16,000",734,762623381003,Self-Employed,3
CUST10015,Sita,Patel,8088403000,sitapatel87@gmail.com,44,Female,Single,"18,56,000",723,239150733339,Self-Employed,0
CUST10016,Anusha,Rao,6200318292,anusharao31@gmail.com,43,Female,Single,"19,10,000",472,791664794995,Retired,4
CUST10017,Divya,Yadav,8469044200,divyayadav30@gmail.com,37,Female,Single,"8,92,000",629,989089577156,Retired,4
CUST10018,Anusha,Sharma,7796367485,anushasharma38@gmail.com,55,Male,Married,"20,89,000",826,432990259960,Employed,0
CUST10019,Ravi,Reddy,6815936311,ravireddy88@gmail.com,48,Male,Single,"23,12,000",622,740671983670,Unemployed,0
CUST10020,Ravi,Reddy,7603617174,ravireddy92@gmail.com,41,Female,Single,"5,15,000",653,215133880959,Student,1
CUST10021,Kiran,Dasari,9367251127,kirandasari34@gmail.com,45,Male,Married,"10,08,000",420,397511182673,Retired,4
CUST10022,Anusha,Dasari,6294913800,anushadasari91@gmail.com,33,Female,Single,"19,18,000",629,255696738305,Student,4
CUST10023,Teja,Goud,6046054855,tejagoud87@gmail.com,37,Male,Single,"3,18,000",833,505229525359,Employed,2
CUST10024,Lakshmi,Reddy,6846588170,lakshmireddy72@gmail.com,40,Female,Married,"29,64,000",335,526592987269,Student,4
CUST10025,Venkatesh,Reddy,9519704837,venkateshreddy15@gmail.com,56,Male,Married,"8,88,000",703,150922996573,Unemployed,2
CUST10026,Teja,Rao,7303704679,tejarao29@gmail.com,34,Female,Single,"21,82,000",668,804968802815,Retired,2
CUST10027,Anusha,Reddy,8174290926,anushareddy97@gmail.com,28,Female,Married,"7,83,000",691,721625284519,Retired,1
CUST10028,Kiran,Patel,8612158084,kiranpatel28@gmail.com,50,Female,Married,"30,49,000",365,799637292981,Student,3
CUST10029,Anusha,Goud,8474675886,anushagoud43@gmail.com,59,Female,Married,"21,44,000",389,510262472308,Student,2
CUST10030,Rajesh,Kumar,7461438942,rajeshkumar21@gmail.com,54,Female,Married,"13,03,000",866,338920529439,Retired,3
CUST10031,Rajesh,Sharma,7362887887,rajeshsharma7@gmail.com,47,Male,Married,"4,42,000",673,142750386063,Retired,1
CUST10032,Lakshmi,Goud,8118479998,lakshmigoud42@gmail.com,29,Male,Married,"8,44,000",844,930626063325,Employed,2
CUST10033,Mounika,Kumar,9112293329,mounikakumar78@gmail.com,42,Male,Married,"23,84,000",693,609919467936,Student,0
CUST10034,Venkatesh,Sharma,7735340479,venkateshsharma31@gmail.com,23,Female,Married,"14,80,000",707,125950259275,Retired,2
CUST10035,Ravi,Naidu,9464219747,ravinaidu70@gmail.com,36,Female,Single,"25,59,000",683,452424621465,Student,1
CUST10036,Kiran,Naidu,6957748294,kirannaidu22@gmail.com,22,Male,Married,"25,16,000",559,315259658930,Unemployed,1
CUST10037,Ravi,Rao,8665730275,ravirao70@gmail.com,55,Male,Single,"6,65,000",736,515410443324,Student,1
CUST10038,Divya,Naidu,6033453705,divyanaidu56@gmail.com,60,Female,Single,"18,02,000",610,194342463266,Retired,4
CUST10039,Sita,Babu,8185673408,sitababu41@gmail.com,31,Female,Single,"17,96,000",816,618971624096,Employed,4
CUST10040,Anusha,Rao,9638288691,anusharao64@gmail.com,32,Female,Married,"18,77,000",690,654787523708,Retired,4
CUST10041,Anusha,Sharma,6230003447,anushasharma60@gmail.com,57,Female,Single,"11,43,000",713,493935476396,Unemployed,1
CUST10042,Mounika,Patel,7255576840,mounikapatel9@gmail.com,54,Male,Married,"15,14,000",591,826111134747,Unemployed,4
CUST10043,Lakshmi,Rao,8762862789,lakshmirao61@gmail.com,58,Female,Married,"9,47,000",692,476637339989,Self-Employed,4
CUST10044,Venkatesh,Rao,7731696629,venkateshrao51@gmail.com,29,Female,Married,"7,01,000",380,452910817624,Self-Employed,2
CUST10045,Venkatesh,Kumar,9830336189,venkateshkumar13@gmail.com,32,Male,Single,"13,84,000",838,948672792580,Student,4
CUST10046,Lakshmi,Yadav,6510106148,lakshmiyadav53@gmail.com,46,Male,Single,"23,43,000",662,460959542124,Retired,2
CUST10047,Divya,Kumar,7937947021,divyakumar59@gmail.com,46,Male,Single,"17,47,000",673,207507015380,Self-Employed,3
CUST10048,Mounika,Yadav,6911216337,mounikayadav20@gmail.com,31,Male,Married,"28,44,000",763,611029958503,Self-Employed,0
CUST10049,Divya,Naidu,6763455001,divyanaidu29@gmail.com,49,Male,Married,"27,04,000",482,936316984997,Retired,2
CUST10050,Ravi,Naidu,6325398806,ravinaidu77@gmail.com,22,Male,Married,"17,24,000",649,576610141057,Self-Employed,1
CUST10051,Divya,Reddy,9404046473,divyareddy90@gmail.com,60,Female,Single,"29,27,000",680,922703967438,Retired,0
CUST10052,Teja,Yadav,7651917685,tejayadav55@gmail.com,41,Female,Married,"4,84,000",786,116683573957,Self-Employed,2
CUST10053,Teja,Rao,9543779258,tejarao52@gmail.com,26,Male,Married,"15,52,000",614,728159297045,Unemployed,0
CUST10054,Rajesh,Yadav,8000313628,rajeshyadav95@gmail.com,55,Female,Married,"18,14,000",653,488195378788,Unemployed,2
CUST10055,Anusha,Babu,9578049340,anushababu34@gmail.com,21,Male,Single,"12,54,000",652,982923114240,Student,0
CUST10056,Rajesh,Sharma,8812837963,rajeshsharma48@gmail.com,50,Female,Single,"3,23,000",657,808206304868,Unemployed,1
CUST10057,Divya,Kumar,7414864693,divyakumar52@gmail.com,56,Female,Married,"24,69,000",647,466214636830,Retired,1
CUST10058,Mounika,Dasari,9798790886,mounikadasari59@gmail.com,52,Male,Married,"17,10,000",738,259989703473,Student,4
CUST10059,Lakshmi,Dasari,7948612404,lakshmidasari75@gmail.com,27,Female,Single,"9,23,000",635,148942736445,Unemployed,2
CUST10060,Ravi,Rao,7065258481,ravirao16@gmail.com,40,Female,Married,"18,72,000",481,602749762648,Unemployed,2
CUST10061,Divya,Sharma,6370006409,divyasharma31@gmail.com,47,Male,Single,"30,05,000",371,889370471065,Unemployed,1
CUST10062,Lakshmi,Reddy,9098307410,lakshmireddy41@gmail.com,45,Male,Single,"18,28,000",759,972469430496,Employed,2
CUST10063,Sita,Kumar,6193249318,sitakumar46@gmail.com,26,Male,Married,"7,74,000",663,581828562892,Unemployed,0
CUST10064,Teja,Rao,7581473479,tejarao59@gmail.com,27,Female,Single,"17,41,000",814,519402288909,Retired,2
CUST10065,Rajesh,Sharma,6782797907,rajeshsharma60@gmail.com,53,Male,Single,"29,12,000",577,163149207618,Unemployed,2
CUST10066,Venkatesh,Sharma,6392080688,venkateshsharma7@gmail.com,40,Female,Married,"26,72,000",720,167872245102,Student,3
CUST10067,Venkatesh,Rao,6024202014,venkateshrao40@gmail.com,22,Female,Married,"29,75,000",488,123911170055,Self-Employed,1
CUST10068,Ravi,Naidu,8139754340,ravinaidu45@gmail.com,60,Male,Married,"30,24,000",410,208949307150,Student,1
CUST10069,Ravi,Patel,7493375728,ravipatel93@gmail.com,48,Female,Married,"24,80,000",650,301915839433,Student,3
CUST10070,Ravi,Naidu,8513979820,ravinaidu56@gmail.com,44,Female,Married,"5,67,000",642,253849734180,Unemployed,4
CUST10071,Divya,Yadav,8261019356,divyayadav78@gmail.com,36,Male,Married,"14,12,000",477,349891108611,Retired,1
CUST10072,Teja,Rao,7856441224,tejarao49@gmail.com,27,Female,Single,"10,34,000",645,426951995873,Employed,4
CUST10073,Anusha,Sharma,6347244716,anushasharma41@gmail.com,44,Male,Married,"4,67,000",679,840632166960,Student,1
CUST10074,Rajesh,Goud,6533660020,rajeshgoud58@gmail.com,40,Male,Single,"3,08,000",643,963894073225,Unemployed,1
CUST10075,Sita,Goud,6211853983,sitagoud40@gmail.com,41,Male,Single,"2,18,000",597,995334211515,Student,1
CUST10076,Ravi,Rao,9202141548,ravirao59@gmail.com,57,Female,Married,"15,98,000",736,590305621768,Self-Employed,4
CUST10077,Teja,Goud,6766534980,tejagoud1@gmail.com,33,Male,Single,"3,98,000",623,573232871641,Employed,0
CUST10078,Anusha,Reddy,6213533723,anushareddy21@gmail.com,55,Female,Single,"26,69,000",448,372619765718,Unemployed,4
CUST10079,Anusha,Dasari,6647195743,anushadasari85@gmail.com,48,Male,Single,"12,88,000",679,263297776292,Retired,2
CUST10080,Anusha,Sharma,8477836704,anushasharma33@gmail.com,25,Female,Single,"29,71,000",695,142017053030,Unemployed,0
CUST10081,Ravi,Patel,9052779816,ravipatel79@gmail.com,21,Female,Single,"28,33,000",700,372851521611,Retired,1
CUST10082,Teja,Rao,8033861929,tejarao66@gmail.com,21,Male,Married,"28,41,000",797,987160804350,Self-Employed,1
CUST10083,Venkatesh,Yadav,7749470043,venkateshyadav77@gmail.com,34,Female,Single,"20,27,000",456,289432153078,Self-Employed,0
CUST10084,Venkatesh,Reddy,6529892569,venkateshreddy52@gmail.com,31,Female,Married,"20,88,000",672,893795281422,Student,4
CUST10085,Anusha,Dasari,9761476453,anushadasari71@gmail.com,32,Female,Single,"9,74,000",751,693805614606,Self-Employed,1
CUST10086,Divya,Yadav,9029264568,divyayadav89@gmail.com,46,Male,Married,"14,05,000",329,355746574413,Employed,0
CUST10087,Ravi,Naidu,6617617786,ravinaidu65@gmail.com,57,Male,Single,"25,20,000",806,391537017942,Employed,3
CUST10088,Mounika,Goud,6600186832,mounikagoud56@gmail.com,53,Male,Single,"12,23,000",788,679417500907,Self-Employed,2
CUST10089,Rajesh,Patel,8445113329,rajeshpatel38@gmail.com,40,Male,Married,"11,98,000",790,402368158748,Unemployed,3
CUST10090,Venkatesh,Babu,9131929673,venkateshbabu67@gmail.com,51,Female,Married,"3,70,000",575,855811954189,Employed,4
CUST10091,Mounika,Naidu,6492957230,mounikanaidu40@gmail.com,46,Female,Single,"3,42,000",592,385631285193,Self-Employed,4
CUST10092,Kiran,Dasari,8747283239,kirandasari46@gmail.com,30,Male,Married,"12,60,000",679,497248041154,Self-Employed,3
CUST10093,Ravi,Yadav,6636008558,raviyadav74@gmail.com,45,Female,Single,"23,56,000",672,155865244214,Student,4
CUST10094,Kiran,Naidu,8442138141,kirannaidu69@gmail.com,48,Female,Single,"18,25,000",640,795795657732,Unemployed,1
CUST10095,Rajesh,Reddy,6576167467,rajeshreddy36@gmail.com,59,Female,Married,"20,03,000",391,353948532828,Retired,0
CUST10096,Divya,Dasari,7520988932,divyadasari45@gmail.com,44,Female,Single,"26,19,000",830,843288614844,Employed,1
CUST10097,Kiran,Patel,8201728339,kiranpatel68@gmail.com,55,Male,Single,"23,71,000",742,297572955641,Retired,4
CUST10098,Teja,Naidu,9008202030,tejanaidu16@gmail.com,45,Female,Married,"8,37,000",804,578439001186,Employed,1
CUST10099,Anusha,Dasari,7827352920,anushadasari97@gmail.com,51,Male,Single,"28,15,000",762,495726998085,Employed,1
CUST10100,Teja,Dasari,6926017222,tejadasari94@gmail.com,31,Female,Married,"10,96,000",788,593690580438,Employed,0
CUST10101,Divya,Patel,9728759974,divyapatel66@gmail.com,21,Female,Single,"9,71,000",458,278990997713,Unemployed,2
CUST10102,Sita,Sharma,9016678541,sitasharma48@gmail.com,40,Male,Single,"7,07,000",720,933431882367,Self-Employed,1
CUST10103,Lakshmi,Kumar,8662219445,lakshmikumar54@gmail.com,34,Male,Single,"9,58,000",616,540129304851,Unemployed,1
CUST10104,Sita,Naidu,9566373314,sitanaidu34@gmail.com,38,Female,Married,"19,95,000",703,235902900571,Self-Employed,3
CUST10105,Sita,Kumar,7151892079,sitakumar59@gmail.com,41,Male,Married,"17,31,000",660,884752559643,Retired,4
CUST10106,Teja,Goud,8615256337,tejagoud25@gmail.com,44,Male,Single,"14,47,000",449,439248925710,Self-Employed,3
CUST10107,Anusha,Naidu,7345083408,anushanaidu55@gmail.com,35,Female,Married,"15,00,000",657,771690052007,Student,0
CUST10108,Rajesh,Babu,7756803936,rajeshbabu64@gmail.com,51,Female,Married,"11,95,000",762,939560344707,Employed,0
CUST10109,Teja,Sharma,8977534605,tejasharma40@gmail.com,25,Male,Married,"24,30,000",704,819893615842,Retired,0
CUST10110,Kiran,Kumar,6635279542,kirankumar15@gmail.com,24,Female,Married,"15,72,000",645,967760165503,Unemployed,4
CUST10111,Ravi,Sharma,9157434582,ravisharma25@gmail.com,59,Female,Married,"19,08,000",772,103158116052,Employed,4
CUST10112,Teja,Yadav,8443034642,tejayadav20@gmail.com,53,Male,Single,"14,81,000",715,532048453408,Student,0
CUST10113,Rajesh,Reddy,7013526897,rajeshreddy95@gmail.com,32,Male,Single,"29,25,000",653,759773306383,Student,1
CUST10114,Anusha,Goud,9756028365,anushagoud80@gmail.com,47,Male,Single,"29,96,000",733,412075187056,Student,1
CUST10115,Lakshmi,Kumar,6296210323,lakshmikumar82@gmail.com,44,Female,Married,"21,81,000",669,556948521441,Student,4
CUST10116,Mounika,Naidu,6926609988,mounikanaidu81@gmail.com,54,Male,Married,"8,52,000",816,422238017382,Employed,4
CUST10117,Teja,Goud,8363245276,tejagoud54@gmail.com,57,Male,Married,"12,55,000",613,763551347523,Unemployed,1
CUST10118,Lakshmi,Rao,7106248496,lakshmirao77@gmail.com,29,Male,Single,"4,02,000",663,119686028965,Retired,0
